Dictionary,Structure,Size,NumElements,InsertionTime(ms),SearchTime(ms),MapTime(ms),ReduceTime(ms),UpdateTime(ms),IterationTime(ms)
HashTable,Vector,10000,1000,1,0,0,0,0,0
BTree,Vector,10000,1000,18,0,0,0,0,0
HashTable,Matrix,300,9000,10,1,2,0,1,0
BTree,Matrix,300,9000,239,7,3,0,6,0
HashTable,Vector,50000,5000,5,0,1,0,0,0
BTree,Vector,50000,5000,119,2,1,0,2,0
HashTable,Matrix,700,49000,60,10,15,5,11,5
BTree,Matrix,700,49000,1607,51,20,4,44,4
HashTable,Vector,90000,9000,10,1,3,1,2,0
BTree,Vector,90000,9000,245,6,2,0,5,0
HashTable,Matrix,1100,121000,208,37,45,19,37,19
BTree,Matrix,1100,121000,4294,157,61,15,156,11
HashTable,Vector,130000,13000,18,2,3,1,2,1
BTree,Vector,130000,13000,382,15,6,1,9,1
